instrument,horizon,features,learner,stratum,n,auc,brier_skill,logloss_skill,calibration_slope,return_spread
CU,H5,B2,logistic,TOP50,6608,0.516405190315352,-0.0033428386813478816,-0.004239455904336165,0.030132021538967817,3.088918707295419e-05
CU,H5,B2,logistic,TOP30,4313,0.5185251152455381,-0.004717658481984799,-0.006100439936198354,0.02986800393869891,4.7109509166081116e-05
CU,H5,B2,logistic,TOP20,3021,0.5172739943372575,-0.009208606280389331,-0.010493900947945223,0.018731047509129222,9.109502147021082e-05
CU,H5,B3,gbr,ALL,8813,0.5346271477746556,0.0017940665508675568,0.0012697480185120957,0.15458115950996743,9.412066355286958e-05
CU,H5,B3,gbr,TOP50,6608,0.5304832569940219,0.001224459370882447,0.0008782483387985707,0.14525802530404358,8.740279344327805e-05
CU,H5,B3,gbr,TOP30,4313,0.5309843248859375,0.0015739174250620769,0.0011388597031195546,0.14790130517365283,8.412182315451766e-05
CU,H5,B3,gbr,TOP20,3021,0.5152788856844818,-0.0027823788221490453,-0.0020124768256579717,0.08814438373164579,0.0001414184118750263
CU,H5,B3,logistic,ALL,8813,0.5178840420690038,-0.0018053246076552565,-0.0018853380324568292,0.06792729550453293,4.708467308583523e-05
CU,H5,B3,logistic,TOP50,6608,0.5167096369412107,-0.0033767882298143537,-0.0032180895065530013,0.05867203513724523,2.764789157329833e-05
CU,H5,B3,logistic,TOP30,4313,0.5170290205796372,-0.004874761536967753,-0.004654641583889507,0.05628097850295876,2.384057676160786e-05
CU,H5,B3,logistic,TOP20,3021,0.5179862200755617,-0.00833934340890874,-0.007626860163397309,0.05223281146068461,6.489515680289389e-05
CU,H15,B0,gbr,ALL,7623,0.5184159604347581,-0.0019314214182972744,-0.0014773407842132436,0.0914443636944573,9.498857546231595e-05
CU,H15,B0,gbr,TOP50,5662,0.5181891078142307,-0.0027019457310448747,-0.002044522734112597,0.08354356576342414,0.00011030951132592788
CU,H15,B0,gbr,TOP30,3702,0.5239493972225213,-0.0022125905381895627,-0.00171975663037216,0.09537471750831536,0.00020830030490164413
CU,H15,B0,gbr,TOP20,2562,0.5202616422767499,-0.004497605899713264,-0.0033984454940918507,0.08014952739341405,0.0003152148449772433
CU,H15,B0,logistic,ALL,7623,0.5013596350392413,-0.002226921507480828,-0.0016710308480074598,-0.06905867480939706,-7.448396815046312e-05
CU,H15,B0,logistic,TOP50,5662,0.5016467137798162,-0.0032362484335832775,-0.002421860938054632,-0.08312840495826233,-7.551198838168733e-05
CU,H15,B0,logistic,TOP30,3702,0.4988504277657961,-0.005642058614362844,-0.00420561119405316,-0.13459350106463053,-0.00012869658503148813
CU,H15,B0,logistic,TOP20,2562,0.4907496295646142,-0.007263525309198826,-0.005432143629621189,-0.1791460502116439,-7.78766708336452e-05
CU,H15,B1,gbr,ALL,7623,0.5167744800773518,-0.002234320058780437,-0.0016930856693533336,0.08567333807762761,2.239181599626866e-05
CU,H15,B1,gbr,TOP50,5662,0.5179313271243818,-0.002490334225356383,-0.0018833003634357581,0.08404802071872675,1.6863667826577985e-05
CU,H15,B1,gbr,TOP30,3702,0.5241427682026306,-0.0014509364855099793,-0.0011604663447659647,0.10331422361751515,0.00013735373472145362
CU,H15,B1,gbr,TOP20,2562,0.5233448959154279,-0.003170362806698357,-0.0024165848992421246,0.09358062889933799,0.00014052494710085572
CU,H15,B1,logistic,ALL,7623,0.5052663472695236,-0.0019249704913015808,-0.001386819967364561,0.06765571251417107,-5.3280652986490595e-05
CU,H15,B1,logistic,TOP50,5662,0.5068767101917286,-0.002424918829731171,-0.001744613987011867,0.072949476635154,-3.7707335611964465e-05
CU,H15,B1,logistic,TOP30,3702,0.5048377770714264,-0.004392617701387325,-0.003163681452459155,0.0594477240303071,-3.494148171678409e-05
CU,H15,B1,logistic,TOP20,2562,0.507271261101633,-0.005232996474440199,-0.003773719656669172,0.05364803158695235,-0.00011342264016709144
CU,H15,B2,gbr,ALL,7623,0.5196600884851035,-0.0025871890473789794,-0.00194998362425447,0.08448529702682539,0.00013814693442508566
CU,H15,B2,gbr,TOP50,5662,0.5165725339698289,-0.00400962619025691,-0.002985542365085303,0.06964101558328585,0.00018108284795296758
CU,H15,B2,gbr,TOP30,3702,0.5174368085528058,-0.0051217062016470916,-0.0038309710982438183,0.06427232575701892,0.0002510955311663675
CU,H15,B2,gbr,TOP20,2562,0.5131921320804054,-0.0074729788934393415,-0.005540645641227915,0.052381608270462114,0.0003371831794137199
CU,H15,B2,logistic,ALL,7623,0.5013882879357117,-0.0028698540459410893,-0.0022322171371829125,-0.026501018469764225,5.7021193847706714e-05
CU,H15,B2,logistic,TOP50,5662,0.5001126347482878,-0.004216404279544728,-0.003259093137069957,-0.03616815226982105,7.266111995901016e-05
CU,H15,B2,logistic,TOP30,3702,0.5027876068611818,-0.006363774925088217,-0.004923919623315953,-0.03683887661501282,0.00011165523369906368
CU,H15,B2,logistic,TOP20,2562,0.4982570794148858,-0.008404483591001322,-0.006541988378663932,-0.06349709841765967,6.281190764592805e-05
CU,H15,B3,gbr,ALL,7623,0.5178849864470422,-0.002922986485537793,-0.0021995869616959762,0.07711623853551358,1.3637953134819231e-05
CU,H15,B3,gbr,TOP50,5662,0.5139715137049343,-0.004403149102137682,-0.0032822130908249925,0.05960218737424343,-2.940504350063866e-05
